StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.01,0.25,0.05,31.58,31.665611,0000.png,0.999899
0.01,0.25,0.1,40.13,24.919013,0001.png,0.999909
0.01,0.25,0.15,60.22,16.605779,0002.png,0.999932
0.01,0.25,0.2,84.71,11.804982,0003.png,0.999903
0.01,0.25,0.25,126.31,7.91703,0004.png,1
0.01,0.5,0.05,16.99,58.858152,0005.png,0.999891
0.01,0.5,0.1,23.94,41.771094,0006.png,0.999903
0.01,0.5,0.15,42.12,23.74169,0007.png,0.999917
0.01,0.5,0.2,64.47,15.51109,0008.png,0.999902
0.01,0.5,0.25,103.63,9.649715,0009.png,0.999976
0.01,0.75,0.05,12.46,80.256822,0010.png,0.999866
0.01,0.75,0.1,18.06,55.370986,0011.png,0.999906
0.01,0.75,0.15,35.7,28.011204,0012.png,0.999906
0.01,0.75,0.2,56.72,17.630465,0013.png,0.999906
0.01,0.75,0.25,95.42,10.479983,0014.png,0.999968
0.01,1.0,0.05,9.79,102.145046,0015.png,0.999808
0.01,1.0,0.1,15.23,65.659882,0016.png,0.999888
0.01,1.0,0.15,31.81,31.436655,0017.png,0.999914
0.01,1.0,0.2,52.6,19.011407,0018.png,0.999903
0.01,1.0,0.25,89.56,11.165699,0019.png,0.999963
0.01,1.25,0.05,7.9,126.582278,0020.png,0.99964
0.01,1.25,0.1,13.01,76.863951,0021.png,0.999877
0.01,1.25,0.15,29.26,34.17635,0022.png,0.999894
0.01,1.25,0.2,49.99,20.004001,0023.png,0.999916
0.01,1.25,0.25,86.21,11.599582,0024.png,0.999941
0.01,1.5,0.05,6.95,143.884892,0025.png,0.999261
0.01,1.5,0.1,11.47,87.183958,0026.png,0.999815
0.01,1.5,0.15,27.91,35.829452,0027.png,0.999876
0.01,1.5,0.2,47.38,21.105952,0028.png,0.999904
0.01,1.5,0.25,82.71,12.090436,0029.png,0.99993
0.01,1.75,0.05,7.17,139.470014,0030.png,0.998625
0.01,1.75,0.1,10.41,96.061479,0031.png,0.999672
0.01,1.75,0.15,26.54,37.678975,0032.png,0.999824
0.01,1.75,0.2,45.8,21.834061,0033.png,0.999872
0.01,1.75,0.25,80.4,12.437811,0034.png,0.999905
0.01,2.0,0.05,5.85,170.940171,0035.png,0.997483
0.01,2.0,0.1,10.05,99.502488,0036.png,0.999345
0.01,2.0,0.15,25.78,38.78976,0037.png,0.999739
0.01,2.0,0.2,44.23,22.609089,0038.png,0.999846
0.01,2.0,0.25,78.12,12.800819,0039.png,0.999886
0.06,0.25,0.05,29.59,33.795201,0040.png,0.999677
0.06,0.25,0.1,31.33,31.918289,0041.png,0.999653
0.06,0.25,0.15,36.07,27.72387,0042.png,0.999623
0.06,0.25,0.2,40.57,24.648755,0043.png,0.999627
0.06,0.25,0.25,48.01,20.828994,0044.png,0.99967
0.06,0.5,0.05,15.55,64.308682,0045.png,0.999636
0.06,0.5,0.1,17.53,57.045066,0046.png,0.99968
0.06,0.5,0.15,22.1,45.248869,0047.png,0.999615
0.06,0.5,0.2,26.64,37.537538,0048.png,0.999631
0.06,0.5,0.25,34.05,29.368576,0049.png,0.999639
0.06,0.75,0.05,11.04,90.57971,0050.png,0.999629
0.06,0.75,0.1,13.1,76.335878,0051.png,0.999598
0.06,0.75,0.15,16.93,59.066745,0052.png,0.999636
0.06,0.75,0.2,21.22,47.125353,0053.png,0.999609
0.06,0.75,0.25,29.09,34.376074,0054.png,0.999593
0.06,1.0,0.05,8.68,115.207373,0055.png,0.999624
0.06,1.0,0.1,10.27,97.370983,0056.png,0.999636
0.06,1.0,0.15,14.34,69.735007,0057.png,0.999622
0.06,1.0,0.2,18.29,54.674686,0058.png,0.999613
0.06,1.0,0.25,25.78,38.78976,0059.png,0.999637
0.06,1.25,0.05,7.18,139.275766,0060.png,0.999407
0.06,1.25,0.1,8.13,123.00123,0061.png,0.999595
0.06,1.25,0.15,12.65,79.051383,0062.png,0.999619
0.06,1.25,0.2,16.26,61.500615,0063.png,0.999652
0.06,1.25,0.25,23.27,42.973786,0064.png,0.999633
0.06,1.5,0.05,5.75,173.913043,0065.png,0.999025
0.06,1.5,0.1,7.83,127.713921,0066.png,0.999545
0.06,1.5,0.15,10.97,91.157703,0067.png,0.999611
0.06,1.5,0.2,14.85,67.340067,0068.png,0.999617
0.06,1.5,0.25,21.31,46.926326,0069.png,0.999619
0.06,1.75,0.05,5.13,194.931774,0070.png,0.998425
0.06,1.75,0.1,6.33,157.977883,0071.png,0.999427
0.06,1.75,0.15,10.17,98.328417,0072.png,0.999532
0.06,1.75,0.2,14.17,70.57163,0073.png,0.999637
0.06,1.75,0.25,20.0,50.0,0074.png,0.999672
0.06,2.0,0.05,5.03,198.807157,0075.png,0.997263
0.06,2.0,0.1,5.8,172.413793,0076.png,0.999107
0.06,2.0,0.15,8.91,112.233446,0077.png,0.999516
0.06,2.0,0.2,12.99,76.982294,0078.png,0.999591
0.06,2.0,0.25,19.61,50.994391,0079.png,0.999651
0.11,0.25,0.05,29.23,34.211427,0080.png,0.999396
0.11,0.25,0.1,29.98,33.35557,0081.png,0.99947
0.11,0.25,0.15,31.39,31.857279,0082.png,0.999454
0.11,0.25,0.2,33.28,30.048077,0083.png,0.999442
0.11,0.25,0.25,36.11,27.69316,0084.png,0.999511
0.11,0.5,0.05,15.42,64.850843,0085.png,0.999482
0.11,0.5,0.1,16.56,60.386473,0086.png,0.999488
0.11,0.5,0.15,19.05,52.493438,0087.png,0.999469
0.11,0.5,0.2,21.54,46.425255,0088.png,0.999503
0.11,0.5,0.25,25.42,39.339103,0089.png,0.999428
0.11,0.75,0.05,10.69,93.54537,0090.png,0.999425
0.11,0.75,0.1,11.99,83.402836,0091.png,0.999449
0.11,0.75,0.15,14.68,68.119891,0092.png,0.999485
0.11,0.75,0.2,16.95,58.99705,0093.png,0.999493
0.11,0.75,0.25,20.69,48.332528,0094.png,0.999414
0.11,1.0,0.05,7.96,125.628141,0095.png,0.9994
0.11,1.0,0.1,9.02,110.864745,0096.png,0.999465
0.11,1.0,0.15,11.94,83.752094,0097.png,0.999443
0.11,1.0,0.2,14.48,69.060773,0098.png,0.999507
0.11,1.0,0.25,18.37,54.436581,0099.png,0.999464
0.11,1.25,0.05,6.54,152.905199,0100.png,0.999194
0.11,1.25,0.1,7.64,130.890052,0101.png,0.99942
