StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.01,0.25,0.05,21.61,46.274873,0000.png,0.999963
0.01,0.25,0.1,22.67,44.11116,0001.png,0.999965
0.01,0.25,0.15,23.3,42.918455,0002.png,0.999976
0.01,0.25,0.2,23.75,42.105263,0003.png,0.99999
0.01,0.25,0.25,24.52,40.783034,0004.png,1
0.01,0.5,0.05,11.82,84.602369,0005.png,0.99977
0.01,0.5,0.1,13.28,75.301205,0006.png,0.999957
0.01,0.5,0.15,14.1,70.921986,0007.png,0.999966
0.01,0.5,0.2,15.1,66.225166,0008.png,0.999983
0.01,0.5,0.25,15.6,64.102564,0009.png,0.999998
0.01,0.75,0.05,8.65,115.606936,0010.png,0.998936
0.01,0.75,0.1,8.95,111.731844,0011.png,0.999813
0.01,0.75,0.15,10.51,95.147479,0012.png,0.999949
0.01,0.75,0.2,11.65,85.83691,0013.png,0.999973
0.01,0.75,0.25,12.57,79.554495,0014.png,0.999991
0.01,1.0,0.05,6.89,145.137881,0015.png,0.997346
0.01,1.0,0.1,7.62,131.233596,0016.png,0.999112
0.01,1.0,0.15,8.18,122.249389,0017.png,0.999778
0.01,1.0,0.2,9.41,106.269926,0018.png,0.999943
0.01,1.0,0.25,10.55,94.78673,0019.png,0.999968
0.01,1.25,0.05,5.62,177.935943,0020.png,0.995083
0.01,1.25,0.1,6.61,151.28593,0021.png,0.997686
0.01,1.25,0.15,7.67,130.378096,0022.png,0.999069
0.01,1.25,0.2,8.28,120.772947,0023.png,0.999683
0.01,1.25,0.25,8.7,114.942529,0024.png,0.999888
0.01,1.5,0.05,4.77,209.643606,0025.png,0.992621
0.01,1.5,0.1,6.36,157.232704,0026.png,0.995604
0.01,1.5,0.15,6.68,149.700599,0027.png,0.997594
0.01,1.5,0.2,7.44,134.408602,0028.png,0.998881
0.01,1.5,0.25,8.64,115.740741,0029.png,0.999497
0.01,1.75,0.05,4.93,202.839757,0030.png,0.990578
0.01,1.75,0.1,4.73,211.41649,0031.png,0.993732
0.01,1.75,0.15,5.36,186.567164,0032.png,0.995995
0.01,1.75,0.2,6.51,153.609831,0033.png,0.997567
0.01,1.75,0.25,7.34,136.239782,0034.png,0.998657
0.01,2.0,0.05,4.74,210.970464,0035.png,0.987447
0.01,2.0,0.1,5.41,184.842884,0036.png,0.990898
0.01,2.0,0.15,6.07,164.744646,0037.png,0.993612
0.01,2.0,0.2,5.92,168.918919,0038.png,0.995965
0.01,2.0,0.25,6.4,156.25,0039.png,0.99757
0.06,0.25,0.05,20.04,49.9002,0040.png,0.999636
0.06,0.25,0.1,20.27,49.333991,0041.png,0.999714
0.06,0.25,0.15,20.37,49.091802,0042.png,0.999694
0.06,0.25,0.2,20.54,48.685492,0043.png,0.999689
0.06,0.25,0.25,20.67,48.379294,0044.png,0.999685
0.06,0.5,0.05,10.78,92.764378,0045.png,0.999523
0.06,0.5,0.1,11.11,90.009001,0046.png,0.999687
0.06,0.5,0.15,11.27,88.731145,0047.png,0.99968
0.06,0.5,0.2,11.45,87.336245,0048.png,0.999696
0.06,0.5,0.25,11.54,86.655113,0049.png,0.999678
0.06,0.75,0.05,7.19,139.082058,0050.png,0.99878
